edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1049,David Grusch,military,briefed,1,Congress,government,2023,
1047,David Fravor,military,briefed,1,Congress,government,2023,
1051,David Grusch,military,briefed,1,Congress,government,2024,
1135,Jeffrey Nuccetelli,military,briefed,1,Congress,government,2024,
1179,Karl Nell,military,briefed,1,Congress,government,2024,
1032,Christopher Mellon,whistleblower,briefed,1,Congress,government,2024,
1067,Dylan Borland,whistleblower,briefed,1,Congress,government,2024,
1213,Lue Elizondo,whistleblower,briefed,1,Congress,government,2022,
1260,Ryan Graves,whistleblower,briefed,1,Congress,government,2023,
1068,Edgar Mitchell,astronaut,collaborated_with,1,George Bush Sr.,government,0,
1171,John Lear,author,collaborated_with,1,Bob Lazar,whistleblower,1989,
1172,John Lear,author,collaborated_with,1,CIA,government,1970,
1116,Jacques Valle,author,collaborated_with,1,Colm Kelleher,scientist,0,
1293,Steven Greer,author,collaborated_with,1,Danny Sheehan,lawyer,0,
1117,Jacques Valle,author,collaborated_with,1,Edgar Mitchell,astronaut,0,
1115,Jacques Valle,author,collaborated_with,1,Eric Davis,scientist,2020,
1057,Diana Pasulka,author,collaborated_with,1,Garry Nolan,scientist,0,
1058,Diana Pasulka,author,collaborated_with,1,Hal Puthof,scientist,0,
1201,Leslie Kean,author,collaborated_with,1,Helene Cooper,author,0,
1118,Jacques Valle,author,collaborated_with,3,Ingo Swann,tbd,0,
1119,Jacques Valle,author,collaborated_with,1,Jack Sarfatti,scientist,0,
1294,Steven Greer,author,collaborated_with,1,Jacob Barber,military,0,
1059,Diana Pasulka,author,collaborated_with,1,Jacques Valle,author,0,
1298,Steven Spielberg,author,collaborated_with,1,Jacques Valle,author,0,
1295,Steven Greer,author,collaborated_with,1,James Fox,producer,0,
1060,Diana Pasulka,author,collaborated_with,1,Jeffrey Kripal,author,0,
1096,George Knapp,author,collaborated_with,1,Jeremy Corbell,author,0,
1061,Diana Pasulka,author,collaborated_with,1,Karl Nell,military,0,
1062,Diana Pasulka,author,collaborated_with,1,Leslie Kean,author,0,
1113,Helene Cooper,author,collaborated_with,1,Leslie Kean,author,0,
